EFFORTID,TRANSID,CAPID,SEARCHER,Date,OCC,PITTAG,ALTPIT,IDCODE,ALTID,NEW,SVL,TOTAL,WEIGHT,BREAK,SEX,TRANSECT,LOCATION,TRAPTYPE,SITE,COMMENT,CI,SEXdeterm,SEXconf,SEXnotes,PROJECTCODE,QC Concerns,QC Flag,QC Resolutions
12220,55980,21137,GTS,03-Mar-15,,4C3D47222F,,3624,,NEW,798,1010,42,,M,Z,3,V,NWFN,CARLIA IN MOUTH. NO HEMIPENES OBSERVED,0.86438308,M,4,PROBE RECORDED AND OBSERVATION OF HEMIPENES,NWFN VISTRAP VIS,,,
12221,55988,21139,MPH,03-Mar-15,,028347041,,9286,,OLD,1048,1339,101,,M,,,V,NWFN,HEMIPENES OBSERVED; ACTIVELY PROBING SRS'S FEEDING CHAMBER AT FOREST EDGE OF TRANSECT B,0.882053956,M,4,Sex assigned by algorithm (>75% agreement and >1000mm),NWFN VISTRAP VIS,,,
12224,55999,21141,JMK,05-Mar-15,,0A140A4C66,,5181,,NEW,976,1239,78,,M,X,3,V,NWFN,HEMIPENES OBSERVED,0.863526465,M,4,PROBE RECORDED AND OBSERVATION OF HEMIPENES,NWFN VISTRAP VIS,,,
12228,56026,21154,MPH,08-Mar-15,,028553633,,9487,,OLD,919,1160,75,,F,X,4,V,NWFN,,1.007112339,F,4,FOUR SEXINGS AS F [AT LEAST ONE >800MM],NWFN VISTRAP VIS,,,
12228,56026,21156,MPH,08-Mar-15,,0A140A4D09,,1679,,NEW,775,989,48,,F,X,8,V,NWFN,BULGE HAD TWO DISTINCT BUMPS,1.074503175,F,1,SINGLE SEXING AS F <800MM,NWFN VISTRAP VIS,,,
12228,56040,21158,MPH,08-Mar-15,,0A140A4D41,,2957,,OLD,812,1025,48,,F,U,12,V,NWFN,,0.939036271,F,2,SINGLE SEXING AS F >800MM,NWFN VISTRAP VIS,,,
12228,56026,21155,MPH,08-Mar-15,,486E490B42,,7379,,OLD,1153,1369,163,+,M,X,6,V,NWFN,HEMIPENES OBSERVED,1.019554568,M,4,Sex assigned by algorithm (>75% agreement and >1000mm),NWFN VISTRAP VIS,RTL FLAGGED LOW PROBABLY DUE TO TAIL BREAK,,
12228,56013,21145,MPH,08-Mar-15,,4878476C04,,1961,,OLD,1201,1424,168,+,M,R,7,V,NWFN,HEMIPENES OBSERVED; TRANSMITTER IN STOMACH,0.906108649,M,4,Sex assigned by algorithm (>75% agreement and >1000mm),NWFN VISTRAP VIS,RTL FLAGGED LOW PROBABLY DUE TO TAIL BREAK,,
12228,56012,21143,MPH,08-Mar-15,,4C3C3E7E49,,7582,,OLD,880,1109,57,,M,Y,1,V,NWFN,HEMIPENES OBSERVED;  ORIGINAL PITTAG 0A140A4C25 INJECTED 26FEB15 BY JMK; SECONDARY PITTAG 4C3D570A06 INJECTED ON 08MAR15 BY MPH; TERTIARY PITTAG 4C3C3E7E49 INJECTED ON 24MAR15 BY GTS,0.875999117,M,4,PROBE RECORDED AND OBSERVATION OF HEMIPENES,NWFN VISTRAP VIS,ORIGINAL PITTAG 0A140A4C25 ASSUMED TO BE LOST; SECONDARY PITTAG 4C3D570A06 ASSUMED TO BE LOST,1,TERTIARY PITTAG INJECTED: 4C3C3E7E49
12229,56023,21151,PDB,03-Mar-15,,0A140A4B43,,1826,,NEW,875,1105,53,,F,Z,13,V,NWFN,SCARING ON TAIL,0.828888092,F,2,SINGLE SEXING AS F >800MM,NWFN VISTRAP VIS,,,
12229,56023,21150,PDB,03-Mar-15,,0A140A4D2F,,5685,,OLD,793,1005,44,,F,Z,8,V,NWFN,,0.92216817,F,2,TWO SEXINGS AS F <800MM,NWFN VISTRAP VIS,,,
12229,56024,21147,PDB,03-Mar-15,,4C3C6B7117,,5272,,OLD,853,1083,55,,F,X,3,V,NWFN,,0.929389676,F,4,FOUR SEXINGS AS F [AT LEAST ONE >800MM],NWFN VISTRAP VIS,,,
12229,56023,21148,PDB,03-Mar-15,,4C3D632123,,5252,,OLD,947,1199,72,,M,Z,7,V,NWFN,HEMIPENES OBSERVED,0.878826763,M,4,PROBE RECORDED AND OBSERVATION OF HEMIPENES,NWFN VISTRAP VIS,,,
12230,56025,21149,GTS,08-Mar-15,,0A140A4D60,,1536,,OLD,715,904,34,,M,C,13,V,NWFN,HEMIPENES OBSERVED; PIT UNREADABLE BY 3 SCANNERS; ORIGINAL PITTAG 4C3B432F77 INJECTED ON 12FEB15 BY PDB; SECONDARY PITTAG 0A140A4B00 INJECTED ON 08MAR15 BY GTS; TERTIARY PITTAG 0A140A4D60 INJECTED ON 24MAR15 TJH,0.952317358,M,4,PROBE RECORDED AND OBSERVATION OF HEMIPENES,NWFN VISTRAP VIS,ORIGINAL PITTAG 4C3B432F77 ASSUMED TO BE LOST; SECONDARY PITTAG 0A140A4B00 ASSUMED TO BE LOST,1,TERTIARY PITTAG INJECTED: 0A140A4D60
12230,56020,21146,GTS,08-Mar-15,,4C3C3C695D,,9718,,OLD,827,1038,47,,M,J,11,V,NWFN,HEMIPENES OBSERVED,0.871204909,M,4,PROBE RECORDED AND OBSERVATION OF HEMIPENES,NWFN VISTRAP VIS,,,
12234,56041,21160,JMK,08-Mar-15,,028284638,,1639,,OLD,951,1219,100,,F,R,8,V,NWFN,,1.204181398,F,4,FOUR SEXINGS AS F [AT LEAST ONE>800MM],NWFN VISTRAP VIS,,,
12234,56041,21157,JMK,08-Mar-15,,49076B7805,,3238,,OLD,1100,1376,155,,F,R,12,V,NWFN,,1.145449604,F,4,Sex assigned by algorithm (>75% agreement and >1000mm),NWFN VISTRAP VIS,,,
12234,56041,21159,JMK,08-Mar-15,,490A761F63,,8661,,OLD,1075,1357,109,,F,R,9,V,NWFN,,0.872475079,F,4,Sex assigned by algorithm (>75% agreement and >1000mm),NWFN VISTRAP VIS,,,
12235,56049,21162,ETH,05-Mar-15,,0A140A4D2C,,4919,,OLD,866,1102,60,,M,M,13,V,NWFN,HEMIPENES OBSERVED,0.968457454,M,4,PROBE RECORDED AND OBSERVATION OF HEMIPENES,NWFN VISTRAP VIS,,,
12235,56051,21163,ETH,05-Mar-15,,48791C7A19,,3622,,OLD,1118,1419,144,,F,F,12,V,NWFN,,1.005182995,F,4,Sex assigned by algorithm (>75% agreement and >1000mm),NWFN VISTRAP VIS,,,
12236,56056,21164,ETH,08-Mar-15,,0A140A4A1A,,3793,,NEW,906,1150,70,,M,G,10,V,NWFN,HEMIPENES OBSERVED,0.982959583,M,4,PROBE RECORDED AND OBSERVATION OF HEMIPENES,NWFN VISTRAP VIS,,,
12237,56062,21167,TJH,10-Mar-15,,028284638,,1639,,OLD,,,,,,L,5,V,NWFN,DISTURBED SNAKE TO CAPTURE THEN RELEASED. BULGED AND FOUND TRANSMITTER.,,F,4,FOUR SEXINGS AS F [AT LEAST ONE>800MM],NWFN VISTRAP VIS,,,
12237,56060,21166,TJH,10-Mar-15,,0A140A4C27,,4992,,OLD,992,1261,79,,M,A,2,V,NWFN,HEMIPENES OBSERVED,0.829176929,M,4,PROBE RECORDED AND OBSERVATION OF HEMIPENES,NWFN VISTRAP VIS,,,
12237,56060,21165,TJH,10-Mar-15,,0A140A4D4F,,2929,,NEW,691,874,36,,F,A,2,V,NWFN,,1.105188431,F,2,TWO SEXINGS AS F <800MM,NWFN VISTRAP VIS,,,
12243,56086,21177,AOK,05-Mar-15,,0A140A4A36,,1342,,NEW,566,715,19,,F,P,13,V,NWFN,"VERY SMALL SNAKE TO PITTAG, COULD SEE TAG UNDER SKIN.",0.960861569,F,2,TWO SEXINGS AS F <800MM,NWFN VISTRAP VIS,,,
12243,56084,21174,AOK,05-Mar-15,,0A140A4C1F,,9453,,OLD,900,1143,55,,M,T,12,V,NWFN,HEMIPENES OBSERVED,0.788501909,M,4,PROBE RECORDED AND OBSERVATION OF HEMIPENES,NWFN VISTRAP VIS,,,
12243,56086,21176,AOK,05-Mar-15,,486E4B331E,,7956,,OLD,1080,1325,125,+,F,P,8,V,NWFN,CLIP ON LIST SAYS 2557; CLIP ON SNAKE ACTUALLY 7956; ORIGINAL PITTAG 486E4B331E INJECTED ON 12FEB10 BY GRH; SECONDARY PITTAG 4C3B74220C INJECTED ON 18MAR15 BY ETH,0.984629016,F,4,Sex assigned by algorithm (>75% agreement and >1000mm),NWFN VISTRAP VIS,ORIGINAL PITTAG 486E4B331E NOT READABLE BY SOME OBSERVERS; OLD CLIP 2557 UNREADABLE,1,NEW PITTAG 4C3B74220C INJECTED; NEW CLIP 7956 ASSIGNED AS OFFICIAL CLIP
12243,56085,21175,AOK,05-Mar-15,,4906636B5F,,4872,,OLD,1135,1406,152,,M,X,6,V,NWFN,HEMIPENES OBSERVED,1.005767858,M,4,Sex assigned by algorithm (>75% agreement and >1000mm),NWFN VISTRAP VIS,,,
12243,56089,21178,AOK,05-Mar-15,,4C3D47222F,,3624,,OLD,808,1020,43,,M,AA,2,V,NWFN,HEMIPENES OBSERVED,0.853461773,M,4,PROBE RECORDED AND OBSERVATION OF HEMIPENES,NWFN VISTRAP VIS,,,
12246,56097,21179,GTS,10-Mar-15,,4C3C01600C,,5358,,OLD,840,1066,62,,F,X,4,V,NWFN,,1.097127574,F,4,FOUR SEXINGS AS F [AT LEAST ONE >800MM],NWFN VISTRAP VIS,,,
12248,56101,21182,TJH,12-Mar-15,,0A140A4D53,,8296,,NEW,825,1044,48,,F,AA,3,V,NWFN,,0.896140636,F,2,SINGLE SEXING AS F >800MM,NWFN VISTRAP VIS,,,
12248,56101,21181,TJH,12-Mar-15,,4C3C0B5A33,,2734,,OLD,888,1126,62,,F,AA,5,V,NWFN,,0.926640729,M,3,TWO SEXINGS AS M <1000MM,NWFN VISTRAP VIS,,,
12251,56107,21184,ETH,10-Mar-15,,49076B7805,,3238,,OLD,,,,,,R,11,V,NWFN,,,F,4,Sex assigned by algorithm (>75% agreement and >1000mm),NWFN VISTRAP VIS,,,
12254,56120,21185,CJR,12-Mar-15,,4C3D632123,,5252,,OLD,932,1185,68,,M,W,8,V,NWFN,HEMIPENES OBSERVED,0.873410413,M,4,PROBE RECORDED AND OBSERVATION OF HEMIPENES,NWFN VISTRAP VIS,,,
12257,56128,21187,JMK,12-Mar-15,,0A140A4D3D,,2443,,OLD,795,1019,50,,M,F,1,V,NWFN,HEMIS OBSERVED,1.040315003,M,4,PROBE RECORDED AND OBSERVATION OF HEMIPENES,NWFN VISTRAP VIS,,,
12265,56162,21205,TJH,17-Mar-15,,0A140A4C1F,,9453,,OLD,900,1144,57,,M,N,12,V,NWFN,HEMIPENES OBSERVED,0.817174706,M,4,PROBE RECORDED AND OBSERVATION OF HEMIPENES,NWFN VISTRAP VIS,,,
12266,56169,21206,TLT,17-Mar-15,,057278111,,8443,,OLD,1046,1336,112,,M,F,11,V,NWFN,HEMIPEN. OBS.; PERCH COMPOSED OF THE MIX OF LEUCAENA AND PASSIFLORA,0.98449104,M,4,Sex assigned by algorithm (>75% agreement and >1000mm),NWFN VISTRAP VIS,,,
12266,56169,21207,TLT,17-Mar-15,,0A140A4A1A,,3793,,OLD,913,1152,68,,M,F,5,V,NWFN,HEMIPEN. OBS.,0.932126457,M,4,PROBE RECORDED AND OBSERVATION OF HEMIPENES,NWFN VISTRAP VIS,,,
12266,56176,21208,TLT,17-Mar-15,,4878476C04,,1961,,OLD,1205,1432,175,+,F,L,8,V,NWFN,PROBE VENT 6 SCALES DEEP ON THE RIGHT SIDE; CERTAINLY FEMALE; FOLLICLES BARELY PALPABLE;,0.932389782,M,4,Sex assigned by algorithm (>75% agreement and >1000mm),NWFN VISTRAP VIS,RTL FLAGGED LOW PROBABLY DUE TO TAIL BREAK,,
12268,56181,21209,JMK,17-Mar-15,,028515582,,9141,,OLD,1110,1346,133,+,F,X,4,V,NWFN,SHEDDING,0.952177866,F,4,Sex assigned by algorithm (>75% agreement and >1000mm),NWFN VISTRAP VIS,RTL FLAGGED LOW PROBABLY DUE TO TAIL BREAK,,
12268,56181,21210,JMK,17-Mar-15,,490A761F63,,8661,,OLD,1081,1366,134,,F,X,8,V,NWFN,BULGE DUE TO TRANSMITTER,1.052146687,F,4,Sex assigned by algorithm (>75% agreement and >1000mm),NWFN VISTRAP VIS,,,
12277,56203,21216,AOK,19-Mar-15,,028589281,,9271,,OLD,,,,,,S,9,V,NWFN,,,M,4,Sex assigned by algorithm (>75% agreement and >1000mm),NWFN VISTRAP VIS,,,
12277,56204,21219,AOK,19-Mar-15,,0A140A4D44,,1896,,OLD,949,1190,85,,F,V,8,V,NWFN,,1.030502327,F,4,FOUR SEXINGS AS F [AT LEAST ONE >800M],NWFN VISTRAP VIS,,,
12277,56200,21218,AOK,19-Mar-15,,0A140A4D45,,5367,,OLD,864,1085,59,,F,X,6,V,NWFN,,0.95903783,F,4,FOUR SEXINGS AS F [AT LEAST ONE >800MM],NWFN VISTRAP VIS,,,
12277,56203,21217,AOK,19-Mar-15,,490A761F63,,8661,,OLD,1084,1370,125,,F,S,11,V,NWFN,,0.972101125,F,4,Sex assigned by algorithm (>75% agreement and >1000mm),NWFN VISTRAP VIS,,,
12277,56201,21214,AOK,19-Mar-15,,4C3C0B5A33,,2734,,OLD,892,1131,64,,M,Z,1,V,NWFN,,0.943326379,M,3,TWO SEXINGS AS M <1000MM,NWFN VISTRAP VIS,,,
12277,56200,21213,AOK,19-Mar-15,,4C3D5D7E28,,5454,,NEW,874,1102,68,,F,X,13,V,NWFN,,1.067208623,F,2,SINGLE SEXING AS F >800MM,NWFN VISTRAP VIS,,,
12278,56206,21220,TJH,19-Mar-15,,000876772,,3837,,OLD,1156,1393,130,+,M,X,10,V,NWFN,SITTING ON TOP OF TRAP; HEMIPENES OBSERVED; SNAKE INCIDENTAL; HOMED TO DURING TELEMETRY; MORPHED PER SRS REQUEST.,0.805583331,M,4,Sex assigned by algorithm (>75% agreement and >1000mm),NWFN VISTRAP VIS,RTL FLAGGED LOW PROBABLY DUE TO TAIL BREAK,,
12278,56207,21221,TJH,19-Mar-15,,0A140A4A75,,4993,,OLD,584,737,23,,F,Z,6,V,NWFN,,1.079887945,F,2,TWO SEXINGS AS F <800MM,NWFN VISTRAP VIS,,,
12278,56209,21222,TJH,19-Mar-15,,0A140A4B0C,,5673,,OLD,887,1121,60,,F,S,12,V,NWFN,,0.899874862,F,4,FOUR SEXINGS AS F [AT LEAST ONE >800MM],NWFN VISTRAP VIS,,,
12279,56215,21223,GTS,19-Mar-15,,006005018,,4532,,OLD,1147,1411,115,,F,C,1,V,NWFN,OBSERVED ON TRAN C WHILE SEARCHING TRAN D,0.732902123,F,4,Sex assigned by algorithm (>75% agreement and >1000mm),NWFN VISTRAP VIS,,,
12282,56219,21225,TLT,19-Mar-15,,0A140A4A26,,5765,,NEW,876,1115,58,,M,A,5,V,NWFN,"CAUTION! CLIP MAY READ 5755 or 5765,  3RD DIGIT SCALE ACCIDENTALLY CLIPPED ON BOTH SIDES; 3 SCALES CLIPPED AT THE NECK; HEMIPEN. OBS.",0.903916588,M,4,PROBE RECORDED AND OBSERVATION OF HEMIPENES,NWFN VISTRAP VIS,,,
12282,56224,21226,TLT,19-Mar-15,,0A140A4B22,,9215,,OLD,866,1101,55,,F,K,1,V,NWFN,,0.887752666,F,3,TWO SEXINGS AS F >800MM,NWFN VISTRAP VIS,,,
12286,56239,21228,ETH,22-Mar-15,,48791C7A19,,3622,,OLD,1126,1425,140,,F,E,9,V,NWFN,,0.952929453,F,4,Sex assigned by algorithm (>75% agreement and >1000mm),NWFN VISTRAP VIS,,,
12287,56243,21229,TJH,22-Mar-15,,4C3C093B0D,,2331,,OLD,942,1189,77,,M,F,12,V,NWFN,HEMIPENES OBSERVED,0.955926923,M,4,PROBE RECORDED AND OBSERVATION OF HEMIPENES,NWFN VISTRAP VIS,,,
12288,56249,21230,MPH,22-Mar-15,,4C3C3C695D,,9718,,OLD,819,1036,47,,M,T,13,V,NWFN,HEMIPENES OBSERVED,0.896579174,M,4,PROBE RECORDED AND OBSERVATION OF HEMIPENES,NWFN VISTRAP VIS,,,
12290,56260,21233,GTS,22-Mar-15,,028583619,,4735,,OLD,,,,,,X,12,V,NWFN,"DND SNAKE, BULGE OF 2",,F,4,Sex assigned by algorithm (>75% agreement and >1000mm),NWFN VISTRAP VIS,,,
12290,56263,21234,GTS,22-Mar-15,,028598116,,4918,,OLD,1001,1255,91,,F,R,13,V,NWFN,SPOTTED ON R13 FROM P13,0.927049012,F,4,Sex assigned by algorithm (>75% agreement and >1000mm),NWFN VISTRAP VIS,,,
12292,56273,21235,TJH,24-Mar-15,,4C3C106832,,9236,,OLD,932,1180,73,,F,E,12,V,NWFN,,0.937631767,F,4,FOUR SEXINGS AS F [AT LEAST ONE >800MM],NWFN VISTRAP VIS,,,
12293,56278,21238,ETH,24-Mar-15,,028590633,,2796,,OLD,971,1239,102,,F,Z,9,V,NWFN,,1.148290343,F,4,FOUR SEXINGS AS F [AT LEAST ONE >800MM],NWFN VISTRAP VIS,,,
12293,56282,21246,ETH,24-Mar-15,,0A140A4D12,,4624,,OLD,831,1047,58,,F,W,6,V,NWFN,,1.059826202,F,3,TWO SEXINGS AS F >800MM,NWFN VISTRAP VIS,,,
12293,56278,21240,ETH,24-Mar-15,,0A140A4D45,,5367,,OLD,855,1078,61,,F,Z,8,V,NWFN,,1.023515696,F,4,FOUR SEXINGS AS F [AT LEAST ONE >800MM],NWFN VISTRAP VIS,,,
12293,56279,21239,ETH,24-Mar-15,,0A140A4D51,,3224,,OLD,902,1156,70,,M,S,3,V,NWFN,HEMIPENES OBSERVED,0.99663133,M,4,PROBE RECORDED AND OBSERVATION OF HEMIPENES,NWFN VISTRAP VIS,,,
12293,56279,21242,ETH,24-Mar-15,,49076B7805,,3238,,OLD,1088,1357,172,,F,S,11,V,NWFN,,1.320618857,F,4,Sex assigned by algorithm (>75% agreement and >1000mm),NWFN VISTRAP VIS,,,
12293,56282,21247,ETH,24-Mar-15,,4C3C394E4B,,1761,,NEW,892,1147,68,,F,W,1,V,NWFN,,1.002284278,F,3,TWO SEXINGS AS F >800MM,NWFN VISTRAP VIS,,,
12293,56280,21244,ETH,24-Mar-15,,4C3D3C7F69,,3596,,OLD,925,1180,63,,M,AA,12,V,NWFN,HEMIS OBS,0.828766462,M,4,PROBE RECORDED AND OBSERVATION OF HEMIPENES,NWFN VISTRAP VIS,,,
12294,56285,21237,GTS,24-Mar-15,,0A140A496A,,5859,,OLD,895,1141,79,,F,Z,6,V,NWFN,,1.152359958,F,4,FOUR SEXINGS AS F [AT LEAST ONE >800MM],NWFN VISTRAP VIS,,,
12294,56288,21245,GTS,24-Mar-15,,0A140A4A7B,,5734,,OLD,858,1091,66,,F,T,5,V,NWFN,,1.095742202,F,3,TWO SEXINGS AS F> 800MM,NWFN VISTRAP VIS,,,
12294,56287,21243,GTS,24-Mar-15,,0A140A4B20,,2492,,OLD,905,1153,70,,F,AA,11,V,NWFN,,0.986357497,F,4,FOUR SEXINGS AS F [AT LEAST ONE >800MM],NWFN VISTRAP VIS,,,
12294,56285,21236,GTS,24-Mar-15,,4C3C3E7E49,,7582,,OLD,890,1126,61,,M,Z,13,V,NWFN,"HEMIPENES OBSERVED,  ORIGINAL PITTAG 0A140A4C25 INJECTED 26FEB15 BY JMK; SECONDARY PITTAG 4C3D570A06 INJECTED ON 08MAR15 BY MPH; TERTIARY PITTAG 4C3C3E7E49 INJECTED ON 24MAR15 BY GTS",0.905376642,M,4,PROBE RECORDED AND OBSERVATION OF HEMIPENES,NWFN VISTRAP VIS,ORIGINAL PITTAG 0A140A4C25 ASSUMED TO BE LOST; SECONDARY PITTAG 4C3D570A06 ASSUMED TO BE LOST,1,TERTIARY PITTAG INJECTED: 4C3C3E7E49
12296,56302,21250,MPH,24-Mar-15,,006005018,,4532,,OLD,1159,1413,111,+,F,H,9,V,NWFN,,0.681457719,F,4,Sex assigned by algorithm (>75% agreement and >1000mm),NWFN VISTRAP VIS,,,
12296,56303,21253,MPH,24-Mar-15,,4C3C01600C,,5358,,OLD,851,1081,71,,F,I,5,V,NWFN,SNAKE COILED SLEEPING; SCARRING ON TAIL,1.208278172,F,4,FOUR SEXINGS AS F [AT LEAST ONE >800MM],NWFN VISTRAP VIS,,,
12298,56314,21256,TJH,26-Mar-15,,028557849,,2937,,OLD,1111,1407,118,,F,B,4,V,NWFN,ALMOST HORIZONTAL WITH TRAP,0.84211928,F,4,Sex assigned by algorithm (>75% agreement and >1000mm),NWFN VISTRAP VIS,,,
12298,56313,21255,TJH,26-Mar-15,,0A140A4D60,,1536,,OLD,720,909,31,,M,H,13,V,NWFN,ORIGINAL PITTAG 4C3B432F77 INJECTED ON 12FEB15 BY PDB; SECONDARY PITTAG 0A140A4B00 INJECTED ON 08MAR15 BY GTS; TERTIARY PITTAG 0A140A4D60 INJECTED ON 24MAR15 BY TJH,0.851986519,M,4,PROBE RECORDED AND OBSERVATION OF HEMIPENES,NWFN VISTRAP VIS,ORIGINAL PITTAG 4C3B432F77 ASSUMED TO BE LOST; SECONDARY PITTAG 0A140A4B00 ASSUMED TO BE LOST,1,TERTIARY PITTAG INJECTED: 0A140A4D60
12298,56318,21257,TJH,26-Mar-15,,45234E7A38,,4642,,OLD,1013,1284,84,,M,N,5,V,NWFN,HEMIS OBSERVED,0.822504941,M,4,PROBE RECORDED AND OBSERVATION OF HEMIPENES,NWFN VISTRAP VIS,,,
12299,56325,21258,ETH,26-Mar-15,,4C3C6B7117,,5272,,OLD,844,1070,51,,F,T,2,V,NWFN,,0.889731696,F,4,FOUR SEXINGS AS F [AT LEAST ONE >800MM],NWFN VISTRAP VIS,,,
12300,56330,21261,GTS,26-Mar-15,,028589281,,9271,,OLD,1122,1300,131,+,M,Z,13,V,NWFN,HEMIPENES OBSERVED,0.902972987,M,4,Sex assigned by algorithm (>75% agreement and >1000mm),NWFN VISTRAP VIS,RTL FLAGGED LOW PROBABLY DUE TO TAIL BREAK,,
12300,56328,21260,GTS,26-Mar-15,,0A140A4C24,,1664,,OLD,973,1230,93,,F,Q,5,V,NWFN,,1.039978616,F,4,FOUR SEXINGS AS F [AT LEAST ONE >800MM],NWFN VISTRAP VIS,,,
12300,56327,21259,GTS,26-Mar-15,,4906636B5F,,4872,,OLD,1150,1415,153,,M,X,6,V,NWFN,HEMIPENES OBSERVED,0.965994461,M,4,Sex assigned by algorithm (>75% agreement and >1000mm),NWFN VISTRAP VIS,,,
12300,56332,21262,GTS,26-Mar-15,,4C3D3C193D,,5485,,OLD,805,1026,48,,M,,,V,NWFN,HEMIPENES OBSERVED; SNAKE FOUND ON CONCRETE FOUNDATION,0.963099067,M,4,PROBE RECORDED AND OBSERVATION OF HEMIPENES,NWFN VISTRAP VIS,,,
12301,56334,21263,TJH,29-Mar-15,,0A140A4D1F,,7946,,OLD,813,1028,48,,M,B,9,V,NWFN,HEMIPENES OBSERVED,0.935654908,M,4,PROBE RECORDED AND OBSERVATION OF HEMIPENES,NWFN VISTRAP VIS,,,
12301,56335,21264,TJH,29-Mar-15,,0A140A4D4F,,2929,,OLD,716,902,35,,F,N,1,V,NWFN,,0.976613381,F,2,TWO SEXINGS AS F <800MM,NWFN VISTRAP VIS,,,
12301,56336,21265,TJH,29-Mar-15,,48791C7A19,,3622,,OLD,,,,,,G,12,V,NWFN,"CAPTURED AT 2108, TRANSMITTER VISIBLE",,F,4,Sex assigned by algorithm (>75% agreement and >1000mm),NWFN VISTRAP VIS,,,
12302,56343,21266,ETH,29-Mar-15,,4C3C6B7117,,5272,,OLD,843,1073,51,,F,Y,4,V,NWFN,,0.892898472,F,4,FOUR SEXINGS AS F [AT LEAST ONE >800MM],NWFN VISTRAP VIS,,,
12306,56381,21281,TLT,29-Mar-15,,0A140A4C1F,,9453,,OLD,895,1136,59,,M,Q,13,V,NWFN,HEMIPENES OBSERVED,0.86062326,M,4,PROBE RECORDED AND OBSERVATION OF HEMIPENES,NWFN VISTRAP VIS,,,
12306,56377,21280,TLT,29-Mar-15,,4C3C394E4B,,1761,,OLD,890,1145,68,,F,Z,4,V,NWFN,,1.009272323,F,3,TWO SEXINGS AS F >800MM,NWFN VISTRAP VIS,,,
12307,56364,21275,MPH,29-Mar-15,,028557849,,2937,,OLD,1101,1398,124,,F,G,7,V,NWFN,,0.913452079,F,4,Sex assigned by algorithm (>75% agreement and >1000mm),NWFN VISTRAP VIS,,,
12307,56361,21274,MPH,29-Mar-15,,0A140A4C4C,,8619,,OLD,827,1050,57,,F,K,1,V,NWFN,IN PROCESS OF SWALLOWING; PALPED OUT ENOUGH TO IDENTIFY AS LEPIDODACTYLUS THEN ALLOWED TO RE-SWALLOW BEFORE MORPH,1.056567656,F,3,TWO SEXINGS AS F >800MM,NWFN VISTRAP VIS,,,
12311,56388,21294,JMK,31-Mar-15,,0A140A4C05,,5372,,OLD,942,1215,86,,F,V,7,V,NWFN,SHEDDING,1.067658642,F,3,TWO SEXINGS AS F >800MM,NWFN VISTRAP VIS,,,
12312,56396,21287,TJH,31-Mar-15,,0A140A4B10,,1578,,OLD,930,1175,73,,M,F,6,V,NWFN,,0.944050712,M,4,PROBE RECORDED AND OBSERVATION OF HEMIPENES,NWFN VISTRAP VIS,,,
12313,56398,21288,ETH,31-Mar-15,,0A140A4C57,,5739,,OLD,825,1055,58,,F,X,7,V,NWFN,CLIP IN DB IS 5734; CLIP VERIFIED BY ETH/JMK TO BE 5739,1.082836602,F,4,FOUR SEXINGS AS F [AT LEAST ONE >800MM],NWFN VISTRAP VIS,CLIP IN DB IS 5734; CLIP VERIFIED BY ETH/JMK TO BE 5739,,
12313,56402,21290,ETH,31-Mar-15,,4C3C431B5F,,7426,,OLD,711,894,39,,F,AA,9,V,NWFN,,1.109095889,F,2,TWO SEXINGS AS F <800MM,NWFN VISTRAP VIS,,,
12313,56398,21289,ETH,31-Mar-15,,4C3D18720D,,3128,,OLD,847,1080,56,,F,X,11,V,NWFN,,0.966612328,F,3,TWO SEXINGS AS F >800MM,NWFN VISTRAP VIS,,,
12314,56407,21295,GTS,31-Mar-15,,001567625,,3192,,OLD,1033,1311,113,,F,D,7,V,NWFN,,1.036235,F,4,Sex assigned by algorithm (>75% agreement and >1000mm),NWFN VISTRAP VIS,,,
12314,56405,21291,GTS,31-Mar-15,,028589281,,9271,,OLD,1125,1302,131,+,M,J,13,V,NWFN,HEMIPENES OBSERVED,0.894480565,M,4,Sex assigned by algorithm (>75% agreement and >1000mm),NWFN VISTRAP VIS,RTL FLAGGED LOW PROBABLY DUE TO TAIL BREAK,,
12314,56409,21296,GTS,31-Mar-15,,0A140A4A26,,5765,,OLD,881,1120,62,,M,F,3,V,NWFN,HEMIPENES OBSERVED,0.949520598,M,4,PROBE RECORDED AND OBSERVATION OF HEMIPENES,NWFN VISTRAP VIS,,,
12314,56405,21292,GTS,31-Mar-15,,4C3B380964,,9849,,NEW,816,1035,57,,M,J,6,V,NWFN,HEMIPENES OBSERVED,1.09914247,M,4,PROBE RECORDED AND OBSERVATION OF HEMIPENES,NWFN VISTRAP VIS,,,
12314,56406,21293,GTS,31-Mar-15,,4C3B671A28,,3734,,OLD,845,1061,54,,F,B,1,V,NWFN,ORIGINAL PITTAG 0A140A4B23 INJECTED ON 08FEB15 BY CJR; SECONDARY PITTAG 4C3B671A28 INJECTED ON 31MAR15 BY GTS,0.938729301,F,3,TWO SEXINGS AS F >800MM,NWFN VISTRAP VIS,ORIGINAL PITTAG 0A140A4B23 ASSUMED TO BE LOST,1,SECONDARY PITTAG INJECTED: 4C3B671A28
12316,56419,21303,MPH,02-Apr-15,,028284638,,1639,,OLD,963,1217,100,,F,K,9,V,NWFN,,1.156424034,F,4,FOUR SEXINGS AS F [AT LEAST ONE>800MM],NWFN VISTRAP VIS,,,
